section_title	title	text
Previewing and sharing your assistant	Previewing and sharing your assistant	\nPreviewing and sharing your assistant\nInternal review is a necessary step in any virtual assistant workflow. You need an environment without customer interactions so your team can test your assistant. The draft environment closely resembles the final experience that your users encounter\n          so you can ensure that you are publishing the optimal end product.\n
Saving and editing your work in the draft environment	Previewing and sharing your assistant	\nSaving and editing your work in the draft environment\nThe draft environment contains all your in-progress work in the Actions, Preview, and Publish pages. Use the Draft environment tab to manage the draft environment, including\n            adding draft environment integrations (channels and extensions) that you can use for internal testing before deployment. These integrations are unique to the draft environment, and changes to draft integrations don't affect the live environment.\n
The Preview page	Previewing and sharing your assistant	\nThe Preview page\nUse the Preview page to test your assistant. You can experience your assistant from your customers' perspective. The Preview page includes an interactive web chat widget where you can test out your assistant\n            as if you were a customer. The content that is contained in the assistant is the content that you built into your actions or set up with the search integration.\nOn the Preview page, you also find the following elements:\n\nCopy link to share: Share an unauthenticated version of your assistant with your colleagues by sending them a link. For more information, see Copying a link to share.\nChange background: Change the background of the page so you can see what your assistant looks like on different web pages. For more information, see Changing background website.\nCustomize web chat: Customize your draft web chat channel to match your brand or website. For more information, see Web chat setup overview.\n\n\n
Copying a link to share	Previewing and sharing your assistant	\nCopying a link to share\nYou can share an unauthenticated version of your assistant with your team by sending them a link. The link opens a sample web page with an interactive web chat widget where you can test out your assistant as if you were a customer. Your subject-matter\n            experts can test your in-progress assistant without needing access to watsonx Assistant itself. The experience is identical to using Preview this environment on the draft environment tab.\nTo share a link:\n\nOn the Preview page, click Copy link to share.\nSend the link to your team.\n\nThe preview link is not accessible if web chat security is enabled. For more information about web chat security, see Securing the web chat.\n
Changing background website	Previewing and sharing your assistant	\nChanging background website\nYou can visualize how your assistant would look as a web chat widget on your organization's website. You can enter a URL or upload an image.\n
Entering a URL	Previewing and sharing your assistant	\nEntering a URL\nYou can enter a URL of your organization's website. Your assistant captures an image of your website to use as the Preview page background.\nYour website must be publicly available to all users. Private or intranet sites can’t be accessed. Any login, splash, cookie, or warning screens might be captured in the image.\nTo enter a URL:\n\nOn the Preview page, click Change background.\nClick Enter URL, then click Continue.\nEnter the path of your website URL, for example, https://www.example.com or example.com.\nClick Continue.\n\n
Uploading an image	Previewing and sharing your assistant	\nUploading an image\nYou can upload an image of your organization's website. Images are stored for 24 hours. The maximum file size is 1 MB. Supported file types are JPEG and PNG.\nTo upload an image:\n\nOn the Preview page, click Change background.\nClick Upload an image, then click Continue.\nDrag a file or click to upload, then click Change background.\n\nImages are stored for 24 hours. A warning message might appear on the Preview page about the time limit expiration. To clear this message:\n\nOn the Preview page, click Change background.\nClick Clear background setting, then click Continue.\nClick Remove background to finish.\n\n
Removing the background	Previewing and sharing your assistant	\nRemoving the background\nAfter you enter a URL or upload an image to use as a background, you might decide to remove the background and restore the default background.\nTo remove the background image:\n\nOn the Preview page, click Change background.\nClick Remove background, then click Continue.\nClick Remove background to finish.\n\n
Using variables to manage conversation information	Using variables to manage conversation information	"Using variables to manage conversation information\nWhen customers reply to your assistant, they share information about themselves and what they want. Your assistant remembers this information, and other information about a conversation, as variables. Your assistant can use variables\n          to provide a more personalized and customized experience, and to get users quickly to the solutions they need.\nVariables are a powerful tool that you can use to build a better assistant. Variables make possible all of the following benefits:\n\n\nPersonalization. The best virtual assistant experiences are targeted and personalized for each customer. When an assistant greets a customer by saying ""Hello, Frank! Welcome back,"" it tells Frank that it remembers\n              his name and that it has talked to him before. By storing this kind of information in variables and then referencing them in your assistant's output, you can personalize the conversation and help your assistant seem more human.\n\n\nAcceleration. Over the course of a conversation, your customers answer questions and make choices. These customer responses are stored as variables, which your assistant can then use to guide a conversation. By choosing the\n              right steps and not wasting your customers' time, you can get them as quickly as possible to the right solution.\n\n\nModularity. Some information might be useful for many different purposes (for example, a customer's current account balance or contact information). Rather than retrieving or recalculating this information in multiple locations,\n              you can do so once, by using a variable to store the result and then access it wherever you need it.\n\n\nPrivacy. The privacy of the customer information is critical for all enterprises. In your assistant, you can mask the variables to protect the privacy of the shared information. When you mask a variable to make it private,\n              the assistant hides the confidential information in the user input or assistant's responses with asterisks in the conversation logs."
Using variables to manage conversation information	Using variables to manage conversation information	The feature for masking the confidential customer information is available only for actions in assistants. If you're calling actions from a dialog, the privacy setting is available in your action steps but won't mask the customer information.\nA variable is simply a named container for a piece of information; by referencing this container by name, your assistant can store or retrieve the information at run time. For example, a variable that is called account_balance might store\n          your customer's current account balance, a value your assistant can update or retrieve as needed.\nThe data that is stored by a variable is characterized by the type of data that it contains, such as text, a numeric value, a date, or even a list of multiple values. The operations that you can perform with a variable vary depending on its data\n          type.
Action variables and session variables	Using variables to manage conversation information	"Action variables and session variables\nIBM® watsonx™ Assistant supports two categories of variables:\n\n\nAction variables: When a step collects information from the customer, the customer response is automatically stored in an action variable. You can think of action variables as short-term memory: they persist only\n                during the current action.\nThe name of an action variable is always the name of the step that defines the customer response. (You cannot change the name of an action variable.) For example, suppose you define a step that asks ""When were you born?"" and accepts\n                a date value as a response. The customer response is automatically stored as an action variable called When were you born?, which you can then access from any subsequent step in the same action.\nYou can make an action variable private by selecting the Protect data collected at this step checkbox in the customer response settings."
Action variables and session variables	Using variables to manage conversation information	Session variables: A value that is not necessarily tied to a particular action can be stored as a session variable. Session variables are long-term memory: they persist throughout the user's interaction with the\n                assistant, and your assistant can reference them from any action.\nYou can create a session variable to store the value from an action variable, if you want to keep the value available for other actions to use. You can also define a session variable based on another session variable, or by using a value\n                defined in an expression. In addition to variables you create, watsonx Assistant provides a set of built-in session variables for global values like the current time and date.\nTo hide the confidential customer information in the conversation logs, you can select the Protect data stored in this variable checkbox when you create or edit a session variable.{: tip)\nSession variables can help you to modularize your assistant because you can write a single action that collects information that is needed in multiple places. For example, you might have a greeting action that collects basic information\n                about the customer and stores the responses in session variables, which any action can then access.\nA session variable that you create persists only during a single session. At the end of the session, the variable's value is cleared. How long a session lasts depends upon how your customers access your assistant, and how your assistant\n                is configured.
Creating a session variable	Using variables to manage conversation information	Creating a session variable\nTo add a session variable that can be accessed by any action:\n\n\nFrom the Actions page, click Variables > Created by you. The list shows all session variables that you created for your assistant.\n\n\nClick New variable.\nYou can also create a new session variable from the step editor. For more information, see Storing a value in a session variable.\n\n\nIn the Name field, type a name for the session variable.\nAs you add the name, an ID is generated for you. Any spaces in the name are replaced with underscores (_) in the ID.\n\n\nOptional: Add a type to set the response type of the variable. (For more information about response types, see Choosing a response type.)\nFrom this field, you can also select any of the saved responses that you created. For more information about saved responses, see Saving and reusing customer responses.\nIn addition to the listed types, a variable can also be created as an array. To create an array variable, select Any as the type, and in the next step, define an initial value that uses the expression [] to\n                  represent an empty array.\n\n\nOptional: Add an initial value to set the starting value for the variable at the beginning of each user session. For example, your customers can use an assistant to make purchases. You might initialize a Payment due                  variable with a starting value of 0, and then add to that value as the customer orders items.\nTo specify a complex object or an array as the initial value, or to calculate the initial value based on other variables, you can write an expression. For more information about writing expressions, see Writing expressions.\n\n\nOptional: Add a description.\n\n\nOptional: Select the Protect data stored in this variable checkbox in the Privacy section if the session variable contains confidential information.\n\n\nClick Apply.
